	0
2012-01-01	29116
2012-01-02	38188
2012-01-03	48890
2012-01-04	48608
2012-01-05	50874
2012-01-06	42537
2012-01-07	31122
2012-01-08	37076
2012-01-09	57011
2012-01-10	51625
2012-01-11	56592
2012-01-12	61444
2012-01-13	51929
2012-01-14	33840
2012-01-15	43749
2012-01-16	57038
2012-01-17	178841
2012-01-18	54224
2012-01-19	51543
2012-01-20	43897
2012-01-21	33010
2012-01-22	36943
2012-01-23	51032
2012-01-24	54800
2012-01-25	51451
2012-01-26	49338
2012-01-27	43120
2012-01-28	31967
2012-01-29	24328
2012-01-30	50375
2012-01-31	49506
2012-02-01	53493
2012-02-02	49183
2012-02-03	43883
2012-02-04	73952
2012-02-05	37718
2012-02-06	51823
2012-02-07	53249
2012-02-08	51062
2012-02-09	52181
2012-02-10	43495
2012-02-11	30178
2012-02-12	37181
2012-02-13	50700
2012-02-14	49295
2012-02-15	50849
2012-02-16	52175
2012-02-17	44707
2012-02-18	32561
2012-02-19	37748
2012-02-20	61725
2012-02-21	55910
2012-02-22	45180
2012-02-23	41783
2012-02-24	39450
2012-02-25	24486
2012-02-26	28167
2012-02-27	44156
2012-02-28	45001
2012-02-29	43686
2012-03-01	43182
2012-03-02	42017
2012-03-03	26139
2012-03-04	33584
2012-03-05	39478
2012-03-06	44064
2012-03-07	45997
2012-03-08	41019
2012-03-09	35888
2012-03-10	27330
2012-03-11	27949
2012-03-12	41685
2012-03-13	38921
2012-03-14	44951
2012-03-15	53598
2012-03-16	44936
2012-03-17	34306
2012-03-18	48258
2012-03-19	56750
2012-03-20	48537
2012-03-21	88169
2012-03-22	39214
2012-03-23	46528
2012-03-24	26382
2012-03-25	28869
2012-03-26	42322
2012-03-27	40219
2012-03-28	45942
2012-03-29	39925
2012-03-30	32713
2012-03-31	25119
2012-04-01	26562
2012-04-02	38749
2012-04-03	40947
2012-04-04	37370
2012-04-05	33405
2012-04-06	28112
2012-04-07	21181
2012-04-08	24531
2012-04-09	35655
2012-04-10	42688
2012-04-11	39078
2012-04-12	36353
2012-04-13	32577
2012-04-14	25502
2012-04-15	27451
2012-04-16	38360
2012-04-17	40385
2012-04-18	38458
2012-04-19	37504
2012-04-20	32789
2012-04-21	27066
2012-04-22	31384
2012-04-23	39872
2012-04-24	42261
2012-04-25	38372
2012-04-26	37925
2012-04-27	34614
2012-04-28	25259
2012-04-29	26946
2012-04-30	35057
2012-05-01	34176
2012-05-02	40618
2012-05-03	42818
2012-05-04	33526
2012-05-05	27540
2012-05-06	31933
2012-05-07	39945
2012-05-08	40444
2012-05-09	39996
2012-05-10	39531
2012-05-11	55235
2012-05-12	25853
2012-05-13	27484
2012-05-14	39436
2012-05-15	44452
2012-05-16	42034
2012-05-17	36918
2012-05-18	32167
2012-05-19	25818
2012-05-20	30009
2012-05-21	40012
2012-05-22	38769
2012-05-23	40441
2012-05-24	39043
2012-05-25	41640
2012-05-26	31765
2012-05-27	34120
2012-05-28	39316
2012-05-29	46674
2012-05-30	48519
2012-05-31	43128
2012-06-01	40223
2012-06-02	40084
2012-06-03	37687
2012-06-04	44912
2012-06-05	46523
2012-06-06	47222
2012-06-07	51622
2012-06-08	41919
2012-06-09	37728
2012-06-10	36528
2012-06-11	46864
2012-06-12	45293
2012-06-13	47229
2012-06-14	59409
2012-06-15	53193
2012-06-16	40568
2012-06-17	35438
2012-06-18	46033
2012-06-19	43030
2012-06-20	45473
2012-06-21	45928
